CT	Actinopterygii	CLASS	32474
PH	Amphibia	CLASS	8054
622C5	Appendicularia	CLASS	68
85	Ascidiacea	CLASS	2925
V1	Aves	CLASS	10357
8W	Cephalaspidomorphi	CLASS	45
LB	Elasmobranchii	CLASS	1223
CK	Holocephali	CLASS	56
DR	Leptocardii	CLASS	30
6224G	Mammalia Linnaeus, 1758	CLASS	5844
6225G	Myxini	CLASS	81
RP	Reptilia	CLASS	10233
HS	Sarcopterygii	CLASS	8
JL	Thaliacea	CLASS	78
